contributors,coordinates,created_at,display_text_range,entities,extended_entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,permalink,user_mentions,hashtags,author_name,author_followers
,,2018-07-28 15:49:02,"[0, 273]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f9hgMOiMME', 'expanded_url': 'http://bit.ly/2tNhMfK', 'display_url': 'bit.ly/2tNhMfK', 'indices': [250, 273]}], 'media': [{'id': 1023233875881943040, 'id_str': '1023233875881943040', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/DjNBye4W4AAfAee.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DjNBye4W4AAfAee.jpg', 'url': 'https://t.co/5cw1nBz61h', 'display_url': 'pic.twitter.com/5cw1nBz61h', 'expanded_url': 'https://twitter.com/vSculpt/status/1023233878377619456/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1102, 'h': 1103, 'resize': 'fit'}, 'small': {'w': 679, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1102, 'h': 1103, 'resize': 'fit'}}}]}","{'media': [{'id': 1023233875881943040, 'id_str': '1023233875881943040', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/DjNBye4W4AAfAee.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DjNBye4W4AAfAee.jpg', 'url': 'https://t.co/5cw1nBz61h', 'display_url': 'pic.twitter.com/5cw1nBz61h', 'expanded_url': 'https://twitter.com/vSculpt/status/1023233878377619456/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1102, 'h': 1103, 'resize': 'fit'}, 'small': {'w': 679, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1102, 'h': 1103, 'resize': 'fit'}}}]}",2,False,"The term “vaginal rejuvenation” may conjure up images of highly-invasive medical procedures, but that doesn’t have to be the case. Light energy-based devices like vSculpt are an effective (and pain-free!) way to get real results. Find out more here: https://t.co/f9hgMOiMME https://t.co/5cw1nBz61h",,1023233878377619456,1023233878377619456,,,,,,False,en,,False,0,False,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",False,"{'id': 3096763477, 'id_str': '3096763477', 'name': 'vSculpt', 'screen_name': 'vSculpt', 'location': 'Seattle, Washington', 'description': 'We are an innovative women-led company with one mission: to empower women to live their best lives. Our product is sold in the UK & Canada.', 'url': 'http://t.co/4KiLb824jM', 'entities': {'url': {'urls': [{'url': 'http://t.co/4KiLb824jM', 'expanded_url': 'http://www.vsculpt.com', 'display_url': 'vsculpt.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 551, 'friends_count': 1295, 'listed_count': 10, 'created_at': 'Wed Mar 18 21:50:01 +0000 2015', 'favourites_count': 259, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 400, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/861814775264690177/TTZ5hL4b_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/861814775264690177/TTZ5hL4b_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3096763477/1446229347', 'profile_link_color': 'AB343A', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/vSculpt/status/1023233878377619456,[],[],vSculpt,551
,,2018-04-05 14:56:12,"[105, 348]","{'hashtags': [{'text': 'rejuvenation', 'indices': [122, 135]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jsexmed', 'name': 'Journal Sexual Med.', 'id': 2584082934, 'id_str': '2584082934', 'indices': [0, 8]}, {'screen_name': 'ISSWSH', 'name': 'ISSWSH', 'id': 2517804000, 'id_str': '2517804000', 'indices': [9, 16]}, {'screen_name': 'SexMedLA', 'name': 'Joshua R Gonzalez MD', 'id': 3359683637, 'id_str': '3359683637', 'indices': [17, 26]}, {'screen_name': 'DrSAtallah', 'name': 'Sandrine Atallah', 'id': 276019447, 'id_str': '276019447', 'indices': [27, 38]}, {'screen_name': 'AshleyGWinter', 'name': 'Ashley Winter MD', 'id': 5417322, 'id_str': '5417322', 'indices': [39, 53]}, {'screen_name': 'SMSNA_ORG', 'name': 'SMSNA', 'id': 3970851673, 'id_str': '3970851673', 'indices': [54, 64]}, {'screen_name': 'essm_tweets', 'name': 'European Society for Sexual Medicine', 'id': 1629864740, 'id_str': '1629864740', 'indices': [65, 77]}, {'screen_name': 'MeSexualHealth', 'name': 'YourSexualHealth.me', 'id': 2412335472, 'id_str': '2412335472', 'indices': [78, 93]}, {'screen_name': 'ISSM_INFO', 'name': 'ISSM', 'id': 398909521, 'id_str': '398909521', 'indices': [94, 104]}], 'urls': []}",,7,False,"@jsexmed @ISSWSH @SexMedLA @DrSAtallah @AshleyGWinter @SMSNA_ORG @essm_tweets @MeSexualHealth @ISSM_INFO The term vaginal #rejuvenation is harmful to women's health. Treating genitourinary syndrome of menopause with vaginal estrogen or with experimental energy based therapy is important and should not be made to sound like a ""cosmetic procedure.""",,981908367970054145,981908367970054145,jsexmed,9.818803859098296e+17,981880385909829632,2584082934.0,2584082934,False,en,,,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,"{'id': 2507796164, 'id_str': '2507796164', 'name': 'Rachel S. Rubin, MD', 'screen_name': 'rachelsrubin1', 'location': 'Washington, DC', 'description': 'Board Certified Urologist. Fellowship Trained Male & Female Sexual Medicine Specialist. Washington, DC. @intimmedicine #makesexgreatagain', 'url': 'https://t.co/9cHAwD63Na', 'entities': {'url': {'urls': [{'url': 'https://t.co/9cHAwD63Na', 'expanded_url': 'http://intimmedicine.com', 'display_url': 'intimmedicine.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1640, 'friends_count': 271, 'listed_count': 12, 'created_at': 'Mon May 19 16:04:37 +0000 2014', 'favourites_count': 793, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1403, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/902619243132313600/fAEuSzIe_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/902619243132313600/fAEuSzIe_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2507796164/1525359746', 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/rachelsrubin1/status/981908367970054145,"['jsexmed', 'SexMedLA', 'ISSWSH', 'SMSNA_ORG', 'AshleyGWinter', 'essm_tweets', 'ISSM_INFO', 'DrSAtallah', 'MeSexualHealth']",['rejuvenation'],rachelsrubin1,1640
,,2018-03-22 10:55:01,"[0, 276]","{'hashtags': [{'text': 'letstalkaboutit', 'indices': [226, 242]}, {'text': 'pelvicfloor', 'indices': [243, 255]}, {'text': 'vaginalrejuvenation', 'indices': [256, 276]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,5,False,"Do you know what vaginal rejuvenation is? While it's not a medical term, most physicians today are using the term to explain non-invasive, energy-based in-office procedures to help improve vaginal health after baby/menopause. #letstalkaboutit #pelvicfloor #vaginalrejuvenation",,976774240937574400,976774240937574400,,,,,,False,en,,,1,False,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",False,"{'id': 3096763477, 'id_str': '3096763477', 'name': 'vSculpt', 'screen_name': 'vSculpt', 'location': 'Seattle, Washington', 'description': 'We are an innovative women-led company with one mission: to empower women to live their best lives. Our product is sold in the UK & Canada.', 'url': 'http://t.co/4KiLb824jM', 'entities': {'url': {'urls': [{'url': 'http://t.co/4KiLb824jM', 'expanded_url': 'http://www.vsculpt.com', 'display_url': 'vsculpt.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 551, 'friends_count': 1295, 'listed_count': 10, 'created_at': 'Wed Mar 18 21:50:01 +0000 2015', 'favourites_count': 259, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 400, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/861814775264690177/TTZ5hL4b_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/861814775264690177/TTZ5hL4b_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3096763477/1446229347', 'profile_link_color': 'AB343A', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/vSculpt/status/976774240937574400,[],"['pelvicfloor', 'vaginalrejuvenation', 'letstalkaboutit']",vSculpt,551
,,2018-03-22 10:55:01,"[0, 276]","{'hashtags': [{'text': 'letstalkaboutit', 'indices': [226, 242]}, {'text': 'pelvicfloor', 'indices': [243, 255]}, {'text': 'vaginalrejuvenation', 'indices': [256, 276]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,5,False,"Do you know what vaginal rejuvenation is? While it's not a medical term, most physicians today are using the term to explain non-invasive, energy-based in-office procedures to help improve vaginal health after baby/menopause. #letstalkaboutit #pelvicfloor #vaginalrejuvenation",,976774240321114112,976774240321114112,,,,,,False,en,,,1,False,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",False,"{'id': 894638772045795329, 'id_str': '894638772045795329', 'name': 'vFit', 'screen_name': 'getvfit', 'location': 'Seattle, WA', 'description': 'We are an innovative women-led company with one mission: to empower women to live their best lives.', 'url': 'https://t.co/Jy2gnfyUT4', 'entities': {'url': {'urls': [{'url': 'https://t.co/Jy2gnfyUT4', 'expanded_url': 'https://www.getvfit.com/', 'display_url': 'getvfit.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 356, 'friends_count': 2409, 'listed_count': 1, 'created_at': 'Mon Aug 07 19:17:59 +0000 2017', 'favourites_count': 43, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 207, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/894953261563760640/kb8wSI7e_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/894953261563760640/kb8wSI7e_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/894638772045795329/1516238869', 'profile_link_color': 'AB343A', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/getvfit/status/976774240321114112,[],"['pelvicfloor', 'vaginalrejuvenation', 'letstalkaboutit']",getvfit,356
