contributors,coordinates,created_at,display_text_range,entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,permalink,user_mentions,hashtags,author_name,author_followers
,,2016-10-06 19:01:06,"[0, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/feJBdWN0Aw', 'expanded_url': 'http://bit.ly/2dvRABp', 'display_url': 'bit.ly/2dvRABp', 'indices': [113, 136]}]}",0,False,"New Game-like Technology Helps Assess Concussions: In August, the FDA approved two medical devices that can a... https://t.co/feJBdWN0Aw",,784106222483976192,784106222483976192,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",False,"{'id': 69635236, 'id_str': '69635236', 'name': 'Jen @HypnosisWtLoss', 'screen_name': 'HypnosisWtLoss', 'location': 'California USA', 'description': 'Program Director for Self Hypnosis for Weight Loss - Easy, Effortless, Inevitable Weight Loss!', 'url': 'http://t.co/tVeydEU2vh', 'entities': {'url': {'urls': [{'url': 'http://t.co/tVeydEU2vh', 'expanded_url': 'http://www.self-hypnosis-for-weight-loss.com', 'display_url': 'self-hypnosis-for-weight-loss.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 120, 'friends_count': 67, 'listed_count': 1, 'created_at': 'Fri Aug 28 16:52:46 +0000 2009', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1626, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'EFEBDF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/387122608/twitter2-icon_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/387122608/twitter2-icon_normal.jpg', 'profile_link_color': '186266', 'profile_sidebar_border_color': '4C8282', 'profile_sidebar_fill_color': 'B2CFCE', 'profile_text_color': '383838', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/HypnosisWtLoss/status/784106222483976192,[],[],HypnosisWtLoss,120
,,2016-10-06 19:01:05,"[0, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VvV9YyQXgy', 'expanded_url': 'http://bit.ly/2dOvCUz', 'display_url': 'bit.ly/2dOvCUz', 'indices': [113, 136]}]}",0,False,"New Game-like Technology Helps Assess Concussions: In August, the FDA approved two medical devices that can a... https://t.co/VvV9YyQXgy",,784106220592336898,784106220592336898,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",False,"{'id': 16481901, 'id_str': '16481901', 'name': 'Patricia Chamberlin', 'screen_name': 'LadyTrish', 'location': 'Southwest USA', 'description': 'Patricia Chamberlin -- aka Lady Trish -- Human Potential Author, MindPower for Peak Performance Founder, Mind-Full Person!', 'url': 'http://t.co/oGClcvs4rz', 'entities': {'url': {'urls': [{'url': 'http://t.co/oGClcvs4rz', 'expanded_url': 'http://mindpower-magazine.com', 'display_url': 'mindpower-magazine.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 461, 'friends_count': 530, 'listed_count': 7, 'created_at': 'Sat Sep 27 03:53:08 +0000 2008', 'favourites_count': 3, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1336, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '065484', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme6/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme6/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/397060968/twit4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/397060968/twit4_normal.jpg', 'profile_link_color': '105C85', 'profile_sidebar_border_color': '35A9B1', 'profile_sidebar_fill_color': 'FCD9C2', 'profile_text_color': '0E0F0F', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/LadyTrish/status/784106220592336898,[],[],LadyTrish,461
,,2016-10-06 16:41:08,"[0, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NfUIWXJ1in', 'expanded_url': 'http://bit.ly/2dVmxus', 'display_url': 'bit.ly/2dVmxus', 'indices': [113, 136]}]}",0,False,"New Game-like Technology Helps Assess Concussions: In August, the FDA approved two medical devices that can a... https://t.co/NfUIWXJ1in",,784071001432739842,784071001432739842,,,,,,False,en,,False,0,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",False,"{'id': 1263252997, 'id_str': '1263252997', 'name': 'Brain Injury Association of California', 'screen_name': 'BIACalifornia', 'location': '', 'description': 'Advocating for awareness, research, treatment, education and resources that improve the quality of life for all Californians living with brain injury \U0001f9e0 #BIACAL', 'url': 'https://t.co/TpSeu0aCfb', 'entities': {'url': {'urls': [{'url': 'https://t.co/TpSeu0aCfb', 'expanded_url': 'http://biacal.org', 'display_url': 'biacal.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 538, 'friends_count': 363, 'listed_count': 19, 'created_at': 'Wed Mar 13 00:55:46 +0000 2013', 'favourites_count': 660, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 9474, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/978064752218796032/PUlDtmny_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/978064752218796032/PUlDtmny_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1263252997/1540913799', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/BIACalifornia/status/784071001432739842,[],[],BIACalifornia,538
,,2016-10-06 15:16:50,"[0, 138]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JPCV7O2Wl8', 'expanded_url': 'http://ow.ly/DIc0505buqW', 'display_url': 'ow.ly/DIc0505buqW', 'indices': [115, 138]}]}",0,False,"New Game-like Technology Helps Assess Concussions - In August, the FDA approved two medical devices that can as... https://t.co/JPCV7O2Wl8",,784049786852900865,784049786852900865,,,,,,False,en,,False,4,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 24354191, 'id_str': '24354191', 'name': 'Brain Blogger', 'screen_name': 'BrainBlogger', 'location': 'Los Angeles, CA', 'description': 'The best place for life transforming and brain-themed science news and discoveries.', 'url': 'http://t.co/iBJqdlczhE', 'entities': {'url': {'urls': [{'url': 'http://t.co/iBJqdlczhE', 'expanded_url': 'http://brainblogger.com', 'display_url': 'brainblogger.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 8329, 'friends_count': 432, 'listed_count': 387, 'created_at': 'Sat Mar 14 10:31:55 +0000 2009', 'favourites_count': 85, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 3355, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/469775387568771072/KQmH9_Ha_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/469775387568771072/KQmH9_Ha_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/24354191/1442580165', 'profile_link_color': 'FCB02D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'B5DCF2', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/BrainBlogger/status/784049786852900865,[],[],BrainBlogger,8329
