contributors,coordinates,created_at,display_text_range,entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,permalink,user_mentions,hashtags,author_name,author_followers
,,2015-09-25 18:09:39,"[0, 136]","{'hashtags': [], 'symbols': [{'text': 'ZOLL', 'indices': [0, 5]}], 'user_mentions': [], 'urls': [{'url': 'http://t.co/f3R87Dqavu', 'expanded_url': 'http://goo.gl/cwZFlo', 'display_url': 'goo.gl/cwZFlo', 'indices': [114, 136]}]}",0,False,"$ZOLL September 25, 2015 - ZOLL LifeVest Wearable Defibrillator to Be Showcased at Heart Failure Society of Am... http://t.co/f3R87Dqavu",,647473051630747648,647473051630747648,,,,,,False,en,,False,0,False,"<a href=""http://www.myallies.com"" rel=""nofollow"">MyAllies Breaking News</a>",False,"{'id': 2397975692, 'id_str': '2397975692', 'name': 'MyAllies News', 'screen_name': 'MyAlliesNews', 'location': '', 'description': 'MyAllies delivers breaking news from across the globe and information on the latest breaking business and financial events. https://t.co/EMO1mExUVH', 'url': 'https://t.co/EMO1mExUVH', 'entities': {'url': {'urls': [{'url': 'https://t.co/EMO1mExUVH', 'expanded_url': 'https://www.myallies.com', 'display_url': 'myallies.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/EMO1mExUVH', 'expanded_url': 'https://www.myallies.com', 'display_url': 'myallies.com', 'indices': [124, 147]}]}}, 'protected': False, 'followers_count': 770, 'friends_count': 0, 'listed_count': 267, 'created_at': 'Wed Mar 19 14:36:36 +0000 2014', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1293005, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/953912193392758784/CWojGv_x_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/953912193392758784/CWojGv_x_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2397975692/1473849401', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/MyAlliesNews/status/647473051630747648,[],[],MyAlliesNews,770
,,2015-05-24 14:31:58,"[0, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/qsh0WMYiAX', 'expanded_url': 'http://www.military-technologies.net/2015/05/22/zoll-lifevest-wearable-defibrillator-to-be-showcased-at-european-society-of-cardiology-heart-failure-congress-2015/', 'display_url': 'military-technologies.net/2015/05/22/zol…', 'indices': [117, 139]}]}",0,False,ZOLL LifeVest Wearable Defibrillator to be Showcased at European Society of Cardiology Heart Failure Congress 2015 - http://t.co/qsh0WMYiAX,,602482173682266112,602482173682266112,,,,,,False,en,,False,0,False,"<a href=""http://www.military-technologies.net/"" rel=""nofollow"">ts2marcin</a>",False,"{'id': 2782200613, 'id_str': '2782200613', 'name': 'satPRnews', 'screen_name': 'ts2marcintest', 'location': '', 'description': 'SAT Press Releases', 'url': 'https://t.co/p5NxoZKHU4', 'entities': {'url': {'urls': [{'url': 'https://t.co/p5NxoZKHU4', 'expanded_url': 'http://www.satprnews.com', 'display_url': 'satprnews.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 375, 'friends_count': 2, 'listed_count': 263, 'created_at': 'Sun Aug 31 11:56:08 +0000 2014', 'favourites_count': 7, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 240185, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2782200613/1409486915', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/ts2marcintest/status/602482173682266112,[],[],ts2marcintest,375
,,2015-05-24 12:08:05,"[0, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/0rbDpMPD5n', 'expanded_url': 'http://www.satprnews.com/2015/05/22/zoll-lifevest-wearable-defibrillator-to-be-showcased-at-european-society-of-cardiology-heart-failure-congress-2015/', 'display_url': 'satprnews.com/2015/05/22/zol…', 'indices': [117, 139]}]}",0,False,ZOLL LifeVest Wearable Defibrillator to be Showcased at European Society of Cardiology Heart Failure Congress 2015 - http://t.co/0rbDpMPD5n,,602445964138381312,602445964138381312,,,,,,False,en,,False,0,False,"<a href=""http://www.military-technologies.net/"" rel=""nofollow"">ts2marcin</a>",False,"{'id': 2782200613, 'id_str': '2782200613', 'name': 'satPRnews', 'screen_name': 'ts2marcintest', 'location': '', 'description': 'SAT Press Releases', 'url': 'https://t.co/p5NxoZKHU4', 'entities': {'url': {'urls': [{'url': 'https://t.co/p5NxoZKHU4', 'expanded_url': 'http://www.satprnews.com', 'display_url': 'satprnews.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 375, 'friends_count': 2, 'listed_count': 263, 'created_at': 'Sun Aug 31 11:56:08 +0000 2014', 'favourites_count': 7, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 240185, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2782200613/1409486915', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/ts2marcintest/status/602445964138381312,[],[],ts2marcintest,375
