contributors,coordinates,created_at,display_text_range,entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,retweeters,rt_follower_counts,rt_names,permalink,user_mentions,hashtags,author_name,author_followers
,,2019-05-13 13:59:44,"[0, 130]",,0,False,Behavioral And Other Chronic Conditions Among Adult Medicaid Enrollees: Implications For Work Requirements https://t.co/Z76130sxsa,,1127936467722960896,1127936467722960896,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,,,,https://twitter.com/amscherer/status/1127936467722960896,,,,
,,2019-05-12 20:00:55,"[0, 147]",,0,False,Behavioral And Other Chronic Conditions Among Adult Medicaid Enrollees: Implications For Work Requirements | Health Affairs https://t.co/aDsdsCmzEy,,1127664976121012227,1127664976121012227,,,,,,False,en,,False,1,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"[{'id': 2746763725, 'id_str': '2746763725', 'name': 'Dr. Alison Bateman-House', 'screen_name': 'ABatemanHouse', 'location': 'New York', 'description': 'Asst prof. studies hist/ethics of human subjects research, compassionate use, & public health. Retweet not endorsement. (WW2, military med, occasional rant too)', 'url': 'https://t.co/pk1a3FoiQR', 'entities': {'url': {'urls': [{'url': 'https://t.co/pk1a3FoiQR', 'expanded_url': 'https://med.nyu.edu/faculty/alison-bateman-house', 'display_url': 'med.nyu.edu/faculty/alison…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 2451, 'friends_count': 2087, 'listed_count': 183, 'created_at': 'Tue Aug 19 21:22:06 +0000 2014', 'favourites_count': 98017, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 51330, 'lang': None, 'status': {'created_at': 'Thu May 23 20:55:44 +0000 2019', 'id': 1131665035145687041, 'id_str': '1131665035145687041', 'text': ""This story won't stop. Patients got drug for free via #ExpandedAccess. Once FDA-approved, the drug was super expens… https://t.co/beoH2F8Grc"", 'truncated': True, 'entities': {'hashtags': [{'text': 'ExpandedAccess', 'indices': [54, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/beoH2F8Grc', 'expanded_url': 'https://twitter.com/i/web/status/1131665035145687041', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/501844085531877376/66R5BGdH_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/501844085531877376/66R5BGdH_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2746763725/1472867978', 'profile_link_color': '1988E8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}]",[2451],['ABatemanHouse'],https://twitter.com/ABatemanHouse/status/1127664976121012227,,,,
,,2019-04-08 13:55:38,"[0, 182]",,1,False,Behavioral And Other Chronic Conditions Among Adult Medicaid Enrollees: Implications For Work Requirements | Health Affairs - authors incl our @BrendanSaloner https://t.co/2DEpuEFQKb,,1115251861228085250,1115251861228085250,,,,,,False,en,,False,3,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"[{'id': 227074050, 'id_str': '227074050', 'name': 'EthicShare', 'screen_name': 'EthicShare', 'location': 'Minneapolis, MN', 'description': 'EthicShare is a research and collaboration website for the field of bioethics.', 'url': 'http://t.co/KA5SSRKnFa', 'entities': {'url': {'urls': [{'url': 'http://t.co/KA5SSRKnFa', 'expanded_url': 'http://www.ethicshare.org', 'display_url': 'ethicshare.org', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 452, 'friends_count': 16, 'listed_count': 30, 'created_at': 'Wed Dec 15 21:03:00 +0000 2010', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1185, 'lang': None, 'status': {'created_at': 'Thu May 23 20:17:10 +0000 2019', 'id': 1131655331300274176, 'id_str': '1131655331300274176', 'text': 'RT @bermaninstitute: SCOPE #StemCell Roundup: This Week - Gene Editing Commission, Globetrotting Cells, Bans, Immune Cells, Disease, Resist…', 'truncated': False, 'entities': {'hashtags': [{'text': 'StemCell', 'indices': [27, 36]}], 'symbols': [], 'user_mentions': [{'screen_name': 'bermaninstitute', 'name': 'Johns Hopkins Berman Institute of Bioethics', 'id': 48788453, 'id_str': '48788453', 'indices': [3, 19]}], 'urls': []}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Thu May 23 20:16:51 +0000 2019', 'id': 1131655249125552128, 'id_str': '1131655249125552128', 'text': 'SCOPE #StemCell Roundup: This Week - Gene Editing Commission, Globetrotting Cells, Bans, Immune Cells, Disease, Res… https://t.co/ZwPuL74v1k', 'truncated': True, 'entities': {'hashtags': [{'text': 'StemCell', 'indices': [6, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZwPuL74v1k', 'expanded_url': 'https://twitter.com/i/web/status/1131655249125552128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 3, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 3, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4D768B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/875726834566082560/_wDjTT9a_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/875726834566082560/_wDjTT9a_normal.jpg', 'profile_link_color': '003B59', 'profile_sidebar_border_color': '48521B', 'profile_sidebar_fill_color': 'DFDFCE', 'profile_text_color': '3E2A1D', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, {'id': 140083787, 'id_str': '140083787', 'name': 'Bioethics Bulletin', 'screen_name': 'bermanbulletin', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 706, 'friends_count': 12, 'listed_count': 20, 'created_at': 'Tue May 04 14:36:16 +0000 2010', 'favourites_count': 62, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1684, 'lang': None, 'status': {'created_at': 'Thu May 23 20:17:06 +0000 2019', 'id': 1131655313990377472, 'id_str': '1131655313990377472', 'text': 'RT @bermaninstitute: SCOPE #StemCell Roundup: This Week - Gene Editing Commission, Globetrotting Cells, Bans, Immune Cells, Disease, Resist…', 'truncated': False, 'entities': {'hashtags': [{'text': 'StemCell', 'indices': [27, 36]}], 'symbols': [], 'user_mentions': [{'screen_name': 'bermaninstitute', 'name': 'Johns Hopkins Berman Institute of Bioethics', 'id': 48788453, 'id_str': '48788453', 'indices': [3, 19]}], 'urls': []}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Thu May 23 20:16:51 +0000 2019', 'id': 1131655249125552128, 'id_str': '1131655249125552128', 'text': 'SCOPE #StemCell Roundup: This Week - Gene Editing Commission, Globetrotting Cells, Bans, Immune Cells, Disease, Res… https://t.co/ZwPuL74v1k', 'truncated': True, 'entities': {'hashtags': [{'text': 'StemCell', 'indices': [6, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZwPuL74v1k', 'expanded_url': 'https://twitter.com/i/web/status/1131655249125552128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 3, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 3, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1266940221/BIBB_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1266940221/BIBB_normal.jpg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, {'id': 79275123, 'id_str': '79275123', 'name': 'Alan Regenberg', 'screen_name': 'aregenberg', 'location': 'Baltimore, MD', 'description': 'Bioethicist, etc: Johns Hopkins Berman Institute of Bioethics. Curator: @bermaninstitute and the Bioethics Bulletin.  Jack of many trades.  Opinions my own.', 'url': 'http://t.co/qWQlNnZpkP', 'entities': {'url': {'urls': [{'url': 'http://t.co/qWQlNnZpkP', 'expanded_url': 'http://www.bioethicsbulletin.org', 'display_url': 'bioethicsbulletin.org', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 2491, 'friends_count': 3269, 'listed_count': 130, 'created_at': 'Fri Oct 02 20:08:01 +0000 2009', 'favourites_count': 15008, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 15112, 'lang': None, 'status': {'created_at': 'Thu May 23 20:56:28 +0000 2019', 'id': 1131665218432409600, 'id_str': '1131665218432409600', 'text': 'Facebook has taken down billions of fake accounts, but the problem is still getting worse https://t.co/j89LLkwfF7 via @voxdotcom', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'voxdotcom', 'name': 'Vox', 'id': 2347049341, 'id_str': '2347049341', 'indices': [118, 128]}], 'urls': [{'url': 'https://t.co/j89LLkwfF7', 'expanded_url': 'https://www.vox.com/recode/2019/5/23/18637596/facebook-fake-accounts-transparency-mark-zuckerberg-report?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter', 'display_url': 'vox.com/recode/2019/5/…', 'indices': [90, 113]}]}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C6E2EE', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme2/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme2/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2988100352/f18d0c464fdd1e75c53d6bdd509b905b_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2988100352/f18d0c464fdd1e75c53d6bdd509b905b_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/79275123/1399387957', 'profile_link_color': '1F98C7', 'profile_sidebar_border_color': 'C6E2EE', 'profile_sidebar_fill_color': 'DAECF4', 'profile_text_color': '663B12', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}]","[452, 706, 2491]","['EthicShare', 'bermanbulletin', 'aregenberg']",https://twitter.com/bermaninstitute/status/1115251861228085250,,,,
