contributors,coordinates,created_at,display_text_range,entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,retweeters,rt_follower_counts,rt_names,permalink,user_mentions,hashtags,author_name,author_followers
,,2018-08-29 17:45:14,"[0, 152]",,0,False,.@Health_Affairs study: Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders https://t.co/ompeePTGi6,,1034859535163379712,1034859535163379712,,,,,,False,en,,False,0,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",False,,,,,https://twitter.com/nys_health/status/1034859535163379712,,,,
,,2018-08-14 06:55:50,"[0, 145]",,0,False,Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders | Health Affairs https://t.co/bwDoYVYHwV,,1029260289974329346,1029260289974329346,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,https://twitter.com/jayteboehler/status/1029260289974329346,,,,
,,2018-08-13 16:57:14,"[0, 167]",,5,False,"Recommended reading: ""Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders"" https://t.co/E8j8IcrRje @Health_Affairs",,1029049249407934464,1029049249407934464,,,,,,False,en,,False,3,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,,"[{'id': 985679821, 'id_str': '985679821', 'name': 'Sara Messelt', 'screen_name': 'SaraMesselt', 'location': 'St. Paul, Minnesota', 'description': 'Executive Director at Proof Alliance formerly MOFAS. Views are my own.', 'url': 'https://t.co/lP2uNXWAnf', 'entities': {'url': {'urls': [{'url': 'https://t.co/lP2uNXWAnf', 'expanded_url': 'http://www.mofas.org', 'display_url': 'mofas.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1359, 'friends_count': 4998, 'listed_count': 24, 'created_at': 'Mon Dec 03 00:52:32 +0000 2012', 'favourites_count': 10763, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5200, 'lang': None, 'status': {'created_at': 'Mon May 20 16:11:52 +0000 2019', 'id': 1130506432967847937, 'id_str': '1130506432967847937', 'text': 'RT @Proof_Alliance: Did you know that organizations in #Minnesota can request free materials from Proof Alliance to share with your clients…', 'truncated': False, 'entities': {'hashtags': [{'text': 'Minnesota', 'indices': [55, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Proof_Alliance', 'name': 'Proof Alliance', 'id': 313529915, 'id_str': '313529915', 'indices': [3, 18]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Mon May 20 16:10:16 +0000 2019', 'id': 1130506032021680128, 'id_str': '1130506032021680128', 'text': 'Did you know that organizations in #Minnesota can request free materials from Proof Alliance to share with your cli… https://t.co/nEnK06lB5H', 'truncated': True, 'entities': {'hashtags': [{'text': 'Minnesota', 'indices': [35, 45]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nEnK06lB5H', 'expanded_url': 'https://twitter.com/i/web/status/1130506032021680128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 4, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'B2DFDA', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/982776762710085632/ZREVRM6s_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/982776762710085632/ZREVRM6s_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/985679821/1523147215', 'profile_link_color': '93A644', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'FFFFFF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, {'id': 441557438, 'id_str': '441557438', 'name': 'Callyn.', 'screen_name': 'c_corder95', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 440, 'friends_count': 133, 'listed_count': 1, 'created_at': 'Tue Dec 20 06:13:41 +0000 2011', 'favourites_count': 21206, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 8830, 'lang': None, 'status': {'created_at': 'Thu May 23 12:10:58 +0000 2019', 'id': 1131532971968782339, 'id_str': '1131532971968782339', 'text': 'RT @dog_feelings: i am happy to report. that my stuffed fren sebastian’s surgery was a success. he’s been prescribed lots of bed rest. whic…', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dog_feelings', 'name': 'Thoughts of Dog', 'id': 846137120209190912, 'id_str': '846137120209190912', 'indices': [3, 16]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Wed May 22 23:42:43 +0000 2019', 'id': 1131344668803813376, 'id_str': '1131344668803813376', 'text': 'i am happy to report. that my stuffed fren sebastian’s surgery was a success. he’s been prescribed lots of bed rest… https://t.co/9WdsBIxrDG', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9WdsBIxrDG', 'expanded_url': 'https://twitter.com/i/web/status/1131344668803813376', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 7183, 'favorite_count': 114570, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 7183, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '3AE63F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/977809360725397504/sdG-z4wf_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/977809360725397504/sdG-z4wf_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/441557438/1523233189', 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'E3E2DE', 'profile_text_color': '0A0A0A', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, {'id': 15235829, 'id_str': '15235829', 'name': 'Health Affairs', 'screen_name': 'Health_Affairs', 'location': 'Washington, D.C.', 'description': 'At the intersection of health, health care, and policy. Follows/Tweets/RTs ≠ endorsements.', 'url': 'http://t.co/MtHbnLs3LV', 'entities': {'url': {'urls': [{'url': 'http://t.co/MtHbnLs3LV', 'expanded_url': 'http://www.healthaffairs.org', 'display_url': 'healthaffairs.org', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 146371, 'friends_count': 682, 'listed_count': 3626, 'created_at': 'Wed Jun 25 20:00:57 +0000 2008', 'favourites_count': 17028, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22248, 'lang': None, 'status': {'created_at': 'Thu May 23 20:22:06 +0000 2019', 'id': 1131656570042032129, 'id_str': '1131656570042032129', 'text': ""Have you heard some buzz about #OpportunityZones, a tax incentive established by Congress in 2017? What's health go… https://t.co/Y29WxXOcWE"", 'truncated': True, 'entities': {'hashtags': [{'text': 'OpportunityZones', 'indices': [31, 48]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Y29WxXOcWE', 'expanded_url': 'https://twitter.com/i/web/status/1131656570042032129', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '00CCFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/829042623620997121/KsooCcWa_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/829042623620997121/KsooCcWa_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/15235829/1471888865', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}]","[1359, 440, 146371]","['SaraMesselt', 'c_corder95', 'Health_Affairs']",https://twitter.com/SHADAC/status/1029049249407934464,,,,
,,2018-08-08 22:16:45,"[0, 235]",,2,False,Study: Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders. Results: Increase in insurance coverage but no corresponding increase in treatment @Health_Affairs https://t.co/A4GabJbpUh,,1027317718532411393,1027317718532411393,,,,,,False,en,,False,2,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"[{'id': 1007531892072013825, 'id_str': '1007531892072013825', 'name': 'La Manina Handcrafted Dolls', 'screen_name': 'ManinaDolls', 'location': 'Japan', 'description': 'La Manina Dolls was founded with the idea of creating loving, adorable and cuddly dolls with the desire to help educate children in rural Vietnam. WIth Love!', 'url': 'https://t.co/bvs9WsJoc9', 'entities': {'url': {'urls': [{'url': 'https://t.co/bvs9WsJoc9', 'expanded_url': 'https://lamaninadolls.com', 'display_url': 'lamaninadolls.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 583, 'friends_count': 1624, 'listed_count': 5, 'created_at': 'Fri Jun 15 07:54:56 +0000 2018', 'favourites_count': 34, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 12959, 'lang': None, 'status': {'created_at': 'Mon Apr 15 21:51:00 +0000 2019', 'id': 1117908204237647873, 'id_str': '1117908204237647873', 'text': 'how much do you know about sugar? https://t.co/AAYh0hcf7o', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1117355338632585223, 'id_str': '1117355338632585223', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1117355338632585223/img/FeHqAken9-hEksCt.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1117355338632585223/img/FeHqAken9-hEksCt.jpg', 'url': 'https://t.co/AAYh0hcf7o', 'display_url': 'pic.twitter.com/AAYh0hcf7o', 'expanded_url': 'https://twitter.com/ManinaDolls/status/1117908204237647873/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1117355338632585223, 'id_str': '1117355338632585223', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1117355338632585223/img/FeHqAken9-hEksCt.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1117355338632585223/img/FeHqAken9-hEksCt.jpg', 'url': 'https://t.co/AAYh0hcf7o', 'display_url': 'pic.twitter.com/AAYh0hcf7o', 'expanded_url': 'https://twitter.com/ManinaDolls/status/1117908204237647873/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 37829, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1117355338632585223/vid/640x360/mgOvcK9WPoNl2T6U.mp4?tag=11'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1117355338632585223/vid/320x180/SJrRtQU9zSugj8yd.mp4?tag=11'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1117355338632585223/pl/eDhbpt-lk2zqM8uH.m3u8?tag=11'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1117355338632585223/vid/1280x720/9QbCsdTKlEA6SZ4j.mp4?tag=11'}]}, 'additional_media_info': {'title': 'White Gold: Brief History of Sugar from Slavery to Sweetener ', 'description': ""White Gold...interesting short synopsis of the journey sugar has taken from the south pacific, from slave trade to what is now commonplace in everyones's life. "", 'call_to_actions': {'watch_now': {'url': 'https://youtu.be/mn4F4yWSU3w'}}, 'embeddable': True, 'monetizable': False}}]}, 'source': '<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1007532980124839936/hKQfz5Bn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1007532980124839936/hKQfz5Bn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1007531892072013825/1529049531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, {'id': 434285700, 'id_str': '434285700', 'name': 'Sci⬜⬜⬜e is R⬜⬜l', 'screen_name': 'sciencemilkcow', 'location': '', 'description': 'Beer lover, amateur chef. \nI once fed a camel (a two-humper) coca-cola and later in the day he remembered who I was.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 825, 'friends_count': 335, 'listed_count': 39, 'created_at': 'Sun Dec 11 17:26:23 +0000 2011', 'favourites_count': 169587, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 202256, 'lang': None, 'status': {'created_at': 'Thu May 23 20:32:49 +0000 2019', 'id': 1131659269982416896, 'id_str': '1131659269982416896', 'text': 'RT @funder: This is a bombshell: What Rod Rosenstein Knew When He Helped Trump Fire Comey #TrumpMustResign\n https://t.co/JcDyWSSNMz', 'truncated': False, 'entities': {'hashtags': [{'text': 'TrumpMustResign', 'indices': [90, 106]}], 'symbols': [], 'user_mentions': [{'screen_name': 'funder', 'name': 'Scott Dworkin', 'id': 14247236, 'id_str': '14247236', 'indices': [3, 10]}], 'urls': [{'url': 'https://t.co/JcDyWSSNMz', 'expanded_url': 'https://www.nybooks.com/daily/2019/05/23/what-rod-rosenstein-knew-when-he-helped-trump-fire-comey/', 'display_url': 'nybooks.com/daily/2019/05/…', 'indices': [108, 131]}]}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Thu May 23 19:46:39 +0000 2019', 'id': 1131647651005501441, 'id_str': '1131647651005501441', 'text': 'This is a bombshell: What Rod Rosenstein Knew When He Helped Trump Fire Comey #TrumpMustResign\n https://t.co/JcDyWSSNMz', 'truncated': False, 'entities': {'hashtags': [{'text': 'TrumpMustResign', 'indices': [78, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JcDyWSSNMz', 'expanded_url': 'https://www.nybooks.com/daily/2019/05/23/what-rod-rosenstein-knew-when-he-helped-trump-fire-comey/', 'display_url': 'nybooks.com/daily/2019/05/…', 'indices': [96, 119]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 249, 'favorite_count': 323, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 249, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/977024938740781056/12t7dPz6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/977024938740781056/12t7dPz6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/434285700/1485392835', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}]","[583, 825]","['ManinaDolls', 'sciencemilkcow']",https://twitter.com/AndreyOstrovsky/status/1027317718532411393,,,,
