contributors,coordinates,created_at,display_text_range,entities,extended_entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,retweeters,rt_follower_counts,rt_names,permalink,user_mentions,hashtags,author_name,author_followers
,,2019-01-23 15:20:00,"[0, 134]",,,0,False,"The Current State Of #Telehealth Evidence: A Rapid Review | Health Affairs #mentalhealth #therapy #counseling 
https://t.co/vS8xVOOrbb",,1088094001377366016,1088094001377366016,,,,,,False,en,,False,0,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,,,,,https://twitter.com/mgperry/status/1088094001377366016,,,,
,,2019-01-23 02:55:58,"[0, 267]",,"{'media': [{'id': 1087906757194776576, 'id_str': '1087906757194776576', 'indices': [268, 291], 'media_url': 'http://pbs.twimg.com/media/DxkFboNXgAAOgEW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DxkFboNXgAAOgEW.jpg', 'url': 'https://t.co/5YechfzYAS', 'display_url': 'pic.twitter.com/5YechfzYAS', 'expanded_url': 'https://twitter.com/arwmd/status/1087906760889905153/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 398, 'resize': 'fit'}, 'large': {'w': 1030, 'h': 603, 'resize': 'fit'}, 'medium': {'w': 1030, 'h': 603, 'resize': 'fit'}}}]}",5,False,"Would like to explore a dialogue / TC in #Ireland with @vhi regarding #telemedicine. 

https://t.co/hBByFvAHOo  provocative health affairs article. 

@GetWellNetwork 
@UPMCWhitfield 
@VideoDocEU 
@asam100 

Please reply and expand influencers.   

There is value here https://t.co/5YechfzYAS",,1087906760889905153,1087906760889905153,,,,,,False,en,"{'id': '946ccd22e1c9cda1', 'url': 'https://api.twitter.com/1.1/geo/id/946ccd22e1c9cda1.json', 'place_type': 'city', 'name': 'Pittsburgh', 'full_name': 'Pittsburgh, PA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]]}, 'attributes': {}}",False,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,"[{'id': 92979821, 'id_str': '92979821', 'name': 'TSSG_WIT', 'screen_name': 'TSSG_WIT', 'location': 'Waterford, Ireland', 'description': 'Telecommunications Software and Systems Group (TSSG)  Shaping the Future Internet. Follow on facebook http://t.co/o7kq26hPv2', 'url': 'http://t.co/xCc8iV4Umb', 'entities': {'url': {'urls': [{'url': 'http://t.co/xCc8iV4Umb', 'expanded_url': 'http://www.tssg.org/', 'display_url': 'tssg.org', 'indices': [0, 22]}]}, 'description': {'urls': [{'url': 'http://t.co/o7kq26hPv2', 'expanded_url': 'http://www.facebook.com/TSSG.WIT', 'display_url': 'facebook.com/TSSG.WIT', 'indices': [102, 124]}]}}, 'protected': False, 'followers_count': 3640, 'friends_count': 4276, 'listed_count': 192, 'created_at': 'Fri Nov 27 14:34:41 +0000 2009', 'favourites_count': 2229, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 7338, 'lang': None, 'status': {'created_at': 'Thu May 23 11:22:22 +0000 2019', 'id': 1131520742959570946, 'id_str': '1131520742959570946', 'text': 'RT @ConverConHQ: The annual #GoogleIO2019 conference focused on #GoogleAssistant as expected. In the recent @voicebotai #Podcast, #Google A…', 'truncated': False, 'entities': {'hashtags': [{'text': 'GoogleIO2019', 'indices': [28, 41]}, {'text': 'GoogleAssistant', 'indices': [64, 80]}, {'text': 'Podcast', 'indices': [120, 128]}, {'text': 'Google', 'indices': [130, 137]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ConverConHQ', 'name': 'ConverCon', 'id': 829340838387970053, 'id_str': '829340838387970053', 'indices': [3, 15]}, {'screen_name': 'voicebotai', 'name': 'voicebot.ai', 'id': 774200021298315264, 'id_str': '774200021298315264', 'indices': [108, 119]}], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Thu May 23 08:18:29 +0000 2019', 'id': 1131474468851900416, 'id_str': '1131474468851900416', 'text': 'The annual #GoogleIO2019 conference focused on #GoogleAssistant as expected. In the recent @voicebotai #Podcast,… https://t.co/HZbU746PPj', 'truncated': True, 'entities': {'hashtags': [{'text': 'GoogleIO2019', 'indices': [11, 24]}, {'text': 'GoogleAssistant', 'indices': [47, 63]}, {'text': 'Podcast', 'indices': [103, 111]}], 'symbols': [], 'user_mentions': [{'screen_name': 'voicebotai', 'name': 'voicebot.ai', 'id': 774200021298315264, 'id_str': '774200021298315264', 'indices': [91, 102]}], 'urls': [{'url': 'https://t.co/HZbU746PPj', 'expanded_url': 'https://twitter.com/i/web/status/1131474468851900416', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 3, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/576402798213931008/4S__Nwg3_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/576402798213931008/4S__Nwg3_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/92979821/1426260098', 'profile_link_color': '3399CC', 'profile_sidebar_border_color': '3399CC', 'profile_sidebar_fill_color': 'F7FAFA', 'profile_text_color': '747475', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}]",[3640],['TSSG_WIT'],https://twitter.com/arwmd/status/1087906760889905153,,,,
,,2019-01-08 22:05:03,"[0, 123]",,"{'media': [{'id': 1082760114598223873, 'id_str': '1082760114598223873', 'indices': [124, 147], 'media_url': 'http://pbs.twimg.com/media/Dwa8lmeWoAEfITL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Dwa8lmeWoAEfITL.jpg', 'url': 'https://t.co/6bCeOyEe6o', 'display_url': 'pic.twitter.com/6bCeOyEe6o', 'expanded_url': 'https://twitter.com/Change_HC/status/1082760116087279616/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 200, 'h': 200, 'resize': 'fit'}, 'large': {'w': 200, 'h': 200, 'resize': 'fit'}, 'small': {'w': 200, 'h': 200, 'resize': 'fit'}}}]}",1,False,The Current State Of Telehealth Evidence: A Rapid Review | Health Affairs https://t.co/ufBwGGajOZ #telehealth #telemedicine https://t.co/6bCeOyEe6o,,1082760116087279616,1082760116087279616,,,,,,False,en,,False,0,False,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",False,,,,,https://twitter.com/Change_HC/status/1082760116087279616,,,,
,,2019-01-07 16:46:10,"[0, 220]",,,1,False,A recent study shows that telehealth outcomes are roughly equivalent to those from in-person care. Does your company use telehealth to offer convenient care to employees? #healthcare #healthpolicy https://t.co/oxLhzueOdm,,1082317481102827520,1082317481102827520,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,,,,https://twitter.com/artemisdata/status/1082317481102827520,,,,
,,2018-12-26 16:47:40,"[0, 211]",,,1,False,It is comforting to see such consistent findings for treating mental health conditions.  Most of the studies in this meta-study found similar outcomes in-person and through tele-medicine. https://t.co/GNmfpUlXqU,,1077969202592563201,1077969202592563201,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,,,,https://twitter.com/matthew_t_rae/status/1077969202592563201,,,,
,,2018-12-05 07:10:37,"[0, 97]",,,1,False,The Current State Of Telehealth Evidence: A Rapid Review | Health Affairs https://t.co/BE6X7FcQD0,,1070213838803333121,1070213838803333121,,,,,,False,en,,False,1,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"[{'id': 784510866603606016, 'id_str': '784510866603606016', 'name': 'PhilippeSayous', 'screen_name': 'PhilippeSayous', 'location': 'Paris, France', 'description': ""Certains regardent la vase au fond de l'étang, d'autres contemplent la fleur de lotus à la surface de l'eau, il s'agit d'un choix. Dalaï Lama"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2447, 'friends_count': 1780, 'listed_count': 27, 'created_at': 'Fri Oct 07 21:49:00 +0000 2016', 'favourites_count': 101865, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 109138, 'lang': None, 'status': {'created_at': 'Thu May 23 20:11:13 +0000 2019', 'id': 1131653833338368001, 'id_str': '1131653833338368001', 'text': 'RT @BGriveaux: Pour une armée européenne au service de la paix et pour faire entendre la voix de l’Europe comme puissance mondiale : notre…', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BGriveaux', 'name': 'Benjamin Griveaux', 'id': 317655205, 'id_str': '317655205', 'indices': [3, 13]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Thu May 23 17:59:26 +0000 2019', 'id': 1131620668913704960, 'id_str': '1131620668913704960', 'text': 'Pour une armée européenne au service de la paix et pour faire entendre la voix de l’Europe comme puissance mondiale… https://t.co/kZW7iF9RmQ', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kZW7iF9RmQ', 'expanded_url': 'https://twitter.com/i/web/status/1131620668913704960', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': {'id': '09f6a7707f18e0b1', 'url': 'https://api.twitter.com/1.1/geo/id/09f6a7707f18e0b1.json', 'place_type': 'city', 'name': 'Paris', 'full_name': 'Paris, France', 'country_code': 'FR', 'country': 'France', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.2241006, 48.8155214], [2.4699053, 48.8155214], [2.4699053, 48.9021461], [2.2241006, 48.9021461]]]}, 'attributes': {}}, 'contributors': None, 'is_quote_status': False, 'retweet_count': 36, 'favorite_count': 91, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'fr'}, 'is_quote_status': False, 'retweet_count': 36, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'fr'}, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/785016233414496256/rPQN8-nZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/785016233414496256/rPQN8-nZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/784510866603606016/1475997176', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}]",[2447],['PhilippeSayous'],https://twitter.com/HAS_veille/status/1070213838803333121,,,,
,,2018-12-04 05:20:13,"[0, 112]",,,0,False,Bred översikt. The Current State Of Telehealth Evidence: A Rapid Review | Health Affairs https://t.co/ISjfIq0qhC,,1069823666131791872,1069823666131791872,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,https://twitter.com/sveneric2/status/1069823666131791872,,,,
